CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,PETTMDEDUCTED{2025-12-24},MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,IFSTSTOCK{2025-12-24},TOAL_MARKET_VALUE<140>
1650.40亿,36,0.69,8.74,5.14亿,5904.40万,23.46|2025-12-24,SH,601985,上交所主板,8.66,1.12,16.85,1.56,8.74,中国核电,否,0.31,1,False,0.06,否,1797.64亿
1160.93亿,37,-0.75,24.50,16.74亿,6999.66万,22.64|2025-12-24,SH,600489,上交所主板,23.66,1.04,23.67,3.98,23.95,中金黄金,否,1.44,1,False,-0.18,否,1160.93亿
906.43亿,38,0.00,16.66,5.20亿,3145.87万,22.15|2025-12-24,SH,600415,上交所主板,16.36,0.58,19.66,4.09,16.53,小商品城,否,0.57,1,False,0.00,否,906.43亿
1578.34亿,39,0.39,5.15,4.60亿,8982.16万,21.54|2025-12-24,SH,600050,上交所主板,5.10,0.79,13.71,0.95,5.13,中国联通,否,0.29,1,False,0.02,否,1603.87亿
2653.32亿,40,0.65,29.45,9.22亿,3149.41万,21.28|2025-12-24,SZ,002415,深交所主板,29.02,1.14,21.63,3.43,29.33,海康威视,否,0.35,0,False,0.19,否,2688.06亿
1510.46亿,41,0.52,3.85,3.29亿,8580.54万,21.19|2025-12-24,SZ,003816,深交所主板,3.81,1.00,16.96,1.57,3.84,中国广核,否,0.22,0,False,0.02,否,1939.15亿
2246.23亿,42,0.22,92.10,22.80亿,2506.69万,21.12|2025-12-24,SH,603259,上交所主板,90.24,0.75,16.83,3.82,90.82,药明康德,否,1.01,1,False,0.20,否,2709.85亿
1038.99亿,43,1.77,30.28,12.05亿,4062.06万,20.97|2025-12-24,SZ,000807,深交所主板,28.88,0.91,17.72,3.21,29.96,云铝股份,否,1.17,0,False,0.52,否,1039.00亿
1001.63亿,44,0.55,56.66,3.34亿,591.90万,20.97|2025-12-24,SZ,000538,深交所主板,56.11,0.93,15.83,2.54,56.50,云南白药,否,0.33,0,False,0.31,否,1008.11亿
1822.43亿,45,-0.21,38.36,4.51亿,1180.57万,20.96|2025-12-24,SZ,002352,深交所主板,38.08,0.50,17.37,1.96,38.19,顺丰控股,否,0.25,0,False,-0.08,否,1924.56亿
2412.65亿,46,3.03,77.37,26.46亿,3460.62万,20.92|2025-12-24,SH,600309,上交所主板,74.86,0.88,19.76,2.29,77.07,万华化学,否,1.11,1,False,2.27,否,2412.65亿
3261.69亿,47,0.70,18.84,30.25亿,1.63亿,20.92|2025-12-24,SH,603993,上交所主板,18.35,0.85,20.99,5.14,18.68,洛阳钼业,否,0.93,1,False,0.13,否,3996.46亿
1737.59亿,48,0.30,26.84,3.49亿,1304.04万,20.70|2025-12-24,SH,601066,上交所主板,26.64,0.42,21.95,2.54,26.75,中信建投,否,0.20,1,False,0.08,否,2074.92亿
6635.61亿,49,-0.29,27.71,13.81亿,4999.43万,20.66|2025-12-24,SH,600900,上交所主板,27.55,0.61,17.99,3.06,27.64,长江电力,否,0.21,1,False,-0.08,否,6763.02亿
5599.87亿,50,-0.17,5.95,8.03亿,1.36亿,20.66|2025-12-24,SH,600028,上交所主板,5.85,1.10,17.90,0.86,5.91,中国石化,否,0.14,1,False,-0.01,否,7156.32亿
6656.15亿,51,0.69,32.65,62.15亿,1.93亿,20.42|2025-12-24,SH,601899,上交所主板,31.99,0.97,17.02,5.12,32.31,紫金矿业,否,0.94,1,False,0.22,否,8591.14亿
1031.17亿,52,-1.38,7.24,10.24亿,1.44亿,20.09|2025-12-24,SZ,002027,深交所主板,7.07,1.23,18.24,6.26,7.14,分众传媒,否,1.00,0,False,-0.10,否,1031.17亿
1661.40亿,53,-0.11,9.26,1.53亿,1664.40万,19.91|2025-12-24,SH,600025,上交所主板,9.18,0.95,17.11,2.50,9.23,华能水电,否,0.09,1,False,-0.01,否,1719.65亿
1.75万亿,54,-0.49,1406.36,35.33亿,251.87万,19.46|2025-12-24,SH,600519,上交所主板,1400.00,1.04,20.36,7.73,1400.90,贵州茅台,否,0.20,1,False,-6.96,否,1.75万亿
2534.35亿,55,-0.38,5.21,3.99亿,7697.34万,19.41|2025-12-24,SH,601816,上交所主板,5.16,0.78,18.45,1.24,5.18,京沪高铁,否,0.16,1,False,-0.02,否,2534.35亿
5038.17亿,56,-1.07,6.56,14.42亿,2.23亿,19.31|2025-12-24,SH,601728,上交所主板,6.43,1.54,14.47,1.30,6.49,中国电信,否,0.29,1,False,-0.07,否,5938.81亿
