SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-28},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-28},TOAL_MARKET_VALUE<140>
227,1219.14亿,-1.49,9.72,43.62亿,4.61亿,SH,601600,9.24,1.23,10.96,2.16,9.26,中国铝业,否,3.50,否,1,False,-0.14,11.14,1588.61亿
228,704.40亿,-0.28,14.27,9.84亿,6976.68万,SZ,000338,13.99,1.38,10.91,1.38,14.13,潍柴动力,否,1.40,否,0,False,-0.04,11.05,1231.23亿
229,544.48亿,-2.17,25.08,3.51亿,1426.61万,SZ,002128,24.18,0.86,9.92,1.46,24.29,电投能源,否,0.64,否,0,False,-0.54,10.76,544.48亿
230,478.28亿,1.14,8.93,1.99亿,2246.10万,SH,601298,8.77,1.58,10.13,1.31,8.87,青岛港,否,0.42,否,1,False,0.10,10.59,575.76亿
231,1.48万亿,-0.55,9.20,9.30亿,1.02亿,SH,601857,9.08,0.50,9.94,1.07,9.12,中国石油,否,0.06,否,1,False,-0.05,10.44,1.67万亿
232,1235.52亿,-1.82,13.83,5.11亿,3770.66万,SH,601898,13.40,0.68,10.75,1.14,13.50,中煤能源,否,0.41,否,1,False,-0.25,10.41,1789.92亿
233,2.65万亿,1.59,8.34,36.92亿,4.47亿,SH,601288,8.17,0.81,10.42,1.09,8.31,农业银行,否,0.14,否,1,False,0.13,10.18,2.91万亿
234,850.12亿,-0.26,7.78,4.78亿,6191.02万,SH,600011,7.67,0.82,6.55,1.96,7.73,华能国际,否,0.56,否,1,False,-0.02,10.16,1213.46亿
235,457.00亿,-0.19,5.42,4.53亿,8422.52万,SH,600027,5.35,0.86,7.99,1.30,5.37,华电国际,否,0.99,否,1,False,-0.01,10.13,623.55亿
236,812.08亿,-2.06,27.90,10.56亿,3854.94万,SH,600938,27.14,0.63,9.28,1.64,27.16,中国海油,否,1.29,否,1,False,-0.57,10.11,1.29万亿
237,1921.30亿,0.34,50.98,13.77亿,2726.73万,SZ,002714,50.00,0.84,13.08,3.56,50.42,牧原股份,否,0.72,否,0,False,0.17,9.99,2754.33亿
238,709.41亿,-0.64,23.74,5.69亿,2431.13万,SZ,002001,23.23,1.12,9.96,2.40,23.36,新 和 成,否,0.80,否,0,False,-0.15,9.88,717.95亿
239,596.88亿,-1.45,17.94,7.33亿,4118.68万,SZ,002648,17.71,1.35,11.93,1.86,17.73,卫星化学,否,1.22,否,0,False,-0.26,9.74,597.26亿
240,507.52亿,-0.71,28.18,7.41亿,2660.97万,SH,600096,27.61,1.06,9.19,2.28,27.84,云天化,否,1.46,否,1,False,-0.20,9.66,507.52亿
241,703.96亿,-0.94,5.32,3.55亿,6739.73万,SH,600023,5.23,1.00,10.02,0.95,5.25,浙能电力,否,0.50,否,1,False,-0.05,9.59,703.96亿
242,620.77亿,-0.91,19.92,1.86亿,943.44万,SH,600741,19.67,0.83,10.77,0.99,19.69,华域汽车,否,0.30,否,1,False,-0.18,9.25,620.77亿
243,1316.27亿,0.00,5.69,2.13亿,3759.59万,SH,600018,5.62,0.98,8.21,0.97,5.67,上港集团,否,0.16,否,1,False,0.00,9.05,1320.05亿
244,749.00亿,-1.55,5.81,10.47亿,1.82亿,SH,601669,5.72,1.00,9.10,0.69,5.73,中国电建,否,1.39,否,1,False,-0.09,8.86,987.06亿
