SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,TRADING_VOLUMES{2025-10-30},TOAL_MARKET_VALUE<140>{2025-10-30},MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>{2025-10-30},TURNOVER_RATE{2025-10-30},PE_DYNAMIC{2025-10-30},VOLUME{2025-10-30},PETTM{2025-10-30},PEAK_PRICE<140>{2025-10-30},QRR{2025-10-30},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,MARKET_NUM,IN_OPTIONAL,PCHG{2025-10-30},IFSTSTOCK{2025-10-30}
159,662.38亿,2.75,2.38亿,662.39亿,SZ,300979,54.04,0.36,20.40,420.76万,19.30,57.33,1.67,4.25,56.76,华利集团,否,0,False,1.52,否
160,3073.11亿,0.28,54.67亿,3765.40亿,SH,603993,17.24,1.77,19.78,3.08亿,19.27,18.16,1.02,4.85,17.60,洛阳钼业,否,1,False,0.05,否
161,1095.74亿,-3.97,20.56亿,1809.26亿,SH,601995,37.43,1.85,20.66,5420.82万,19.24,38.60,1.78,1.85,37.48,中金公司,否,1,False,-1.55,否
162,710.31亿,-0.64,3.48亿,711.08亿,SZ,000963,40.31,0.49,19.41,856.67万,19.23,41.07,1.07,2.95,40.54,华东医药,否,0,False,-0.26,否
163,964.76亿,1.13,6.01亿,965.47亿,SZ,002311,56.60,0.62,17.48,1036.42万,19.22,58.90,1.35,3.82,58.03,海大集团,否,0,False,0.65,否
164,899.62亿,0.95,53.61亿,1501.09亿,SH,600362,41.90,5.89,18.69,1.22亿,18.76,45.15,1.52,1.84,43.35,江西铜业,否,1,False,0.41,否
165,588.84亿,-0.36,13.95亿,588.84亿,SH,601168,24.37,2.35,14.99,5592.87万,18.73,25.37,0.92,3.33,24.71,西部矿业,否,1,False,-0.09,否
166,975.36亿,1.45,12.78亿,1234.06亿,SZ,000425,10.38,1.30,15.48,1.21亿,18.71,10.72,0.71,2.04,10.50,徐工机械,否,0,False,0.15,否
167,358.27亿,2.64,6.22亿,529.13亿,SZ,002353,50.40,1.73,21.95,1201.60万,18.65,52.60,1.21,2.39,51.68,杰瑞股份,否,0,False,1.33,否
168,2293.65亿,0.77,12.91亿,2293.65亿,SH,600809,185.00,0.56,15.08,682.22万,18.59,191.57,1.29,6.39,188.01,山西汾酒,否,1,False,1.44,否
169,5244.75亿,0.18,7.02亿,6701.12亿,SH,600028,5.51,0.13,16.76,1.27亿,18.59,5.58,0.94,0.81,5.53,中国石化,否,1,False,0.01,否
170,1953.19亿,0.44,16.74亿,2062.64亿,SZ,002352,40.60,0.86,18.62,4082.17万,18.58,41.37,1.44,2.16,40.93,顺丰控股,否,0,False,0.18,否
171,644.91亿,-2.72,7.29亿,644.91亿,SH,600176,16.01,1.12,18.83,4494.29万,18.53,16.54,0.97,2.04,16.11,中国巨石,否,1,False,-0.45,否
172,1228.19亿,-1.80,6.25亿,1364.68亿,SZ,000166,5.45,0.51,12.77,1.14亿,18.52,5.54,1.10,1.26,5.45,申万宏源,否,0,False,-0.10,否
173,6404.91亿,0.48,86.30亿,8268.28亿,SH,601899,30.62,1.34,16.38,2.77亿,18.15,31.60,1.15,4.93,31.11,紫金矿业,否,1,False,0.15,否
174,5309.87亿,-0.15,7.79亿,6259.09亿,SH,601728,6.83,0.15,15.25,1.13亿,18.15,6.91,1.18,1.37,6.84,中国电信,否,1,False,-0.01,否
175,1022.60亿,-0.88,10.53亿,1227.36亿,SZ,000625,12.37,1.02,30.13,8454.43万,18.06,12.56,0.76,1.59,12.38,长安汽车,否,0,False,-0.11,否
176,1679.87亿,-0.55,14.61亿,1707.04亿,SH,600050,5.44,0.87,14.60,2.66亿,18.04,5.52,1.08,1.01,5.46,中国联通,否,1,False,-0.03,否
177,1254.37亿,0.06,4.14亿,1254.37亿,SH,600346,17.61,0.33,18.73,2315.48万,18.02,18.11,0.76,1.94,17.82,恒力石化,否,1,False,0.01,否
178,431.64亿,4.29,7.13亿,695.70亿,SH,601808,14.15,1.66,16.26,4910.50万,17.83,14.72,2.60,1.51,14.58,中海油服,否,1,False,0.60,否
179,1410.12亿,-0.26,3.73亿,1943.49亿,SH,601633,22.70,0.26,16.88,1631.38万,17.78,22.99,1.04,2.26,22.71,长城汽车,否,1,False,-0.06,否
180,440.75亿,-1.61,15.19亿,684.63亿,SZ,002236,20.81,3.42,14.52,7226.10万,17.57,21.34,0.65,1.79,20.83,大华股份,否,0,False,-0.34,否
181,1931.81亿,-0.45,17.32亿,1931.81亿,SH,600309,61.18,0.90,15.82,2808.67万,17.41,62.25,0.99,1.84,61.71,万华化学,否,1,False,-0.28,否
182,1158.46亿,-0.35,6.53亿,1158.46亿,SH,601006,5.74,0.56,13.96,1.13亿,17.39,5.78,1.03,0.70,5.75,大秦铁路,否,1,False,-0.02,否
183,567.75亿,0.50,5.78亿,694.48亿,SZ,000157,8.00,1.01,13.29,7170.09万,17.37,8.15,1.00,1.22,8.03,中联重科,否,0,False,0.04,否
184,1078.62亿,0.84,3.87亿,1158.25亿,SH,600886,14.31,0.36,13.33,2670.58万,17.30,14.58,1.22,1.82,14.47,国投电力,否,1,False,0.12,否
185,881.64亿,0.16,2.02亿,881.76亿,SZ,000895,25.38,0.23,16.71,790.43万,17.14,25.83,1.26,4.36,25.45,双汇发展,否,0,False,0.04,否
