SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,IFSTSTOCK{2025-11-13},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,PETTM{2025-11-13},BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
14,657.44亿,-0.33,68.38,否,8.46亿,1259.47万,SH,603228,上交所主板,54.72,66.14,0.95,52.49,5.20,67.38,景旺电子,否,1.29,1,False,-0.22,663.55亿
15,1742.00亿,0.01,90.00,否,43.44亿,4892.49万,SH,601888,上交所主板,54.29,87.51,1.08,45.36,3.32,89.22,中国中免,否,2.51,1,False,0.01,1845.84亿
16,743.62亿,0.66,26.01,否,4.54亿,1757.97万,SZ,000938,深交所主板,53.32,25.63,0.83,39.73,5.14,26.00,紫光股份,否,0.61,0,False,0.17,743.62亿
17,556.31亿,1.45,29.38,否,3.39亿,1161.68万,SH,600570,上交所主板,52.84,28.96,1.01,91.67,6.15,29.37,恒生电子,否,0.61,1,False,0.42,556.31亿
18,96.59亿,0.20,20.08,否,7483.34万,373.68万,SH,601136,上交所主板,52.78,19.97,0.64,51.17,3.99,20.06,首创证券,否,0.78,1,False,0.04,548.31亿
19,1383.71亿,0.23,209.72,否,9.25亿,447.15万,SZ,002916,深交所主板,51.09,204.00,1.13,44.74,8.57,208.07,深南电路,否,0.67,0,False,0.47,1387.29亿
20,1413.95亿,2.06,59.17,否,12.63亿,2179.21万,SH,600183,上交所主板,51.05,56.88,0.97,44.03,9.23,59.05,生益科技,否,0.91,1,False,1.19,1434.39亿
21,1053.13亿,-0.55,70.42,否,1.34亿,190.97万,SZ,002304,深交所主板,50.88,69.82,0.86,19.87,2.17,69.91,洋河股份,否,0.13,0,False,-0.39,1053.16亿
22,335.53亿,2.07,23.35,否,17.11亿,7472.52万,SZ,000657,深交所主板,49.47,22.18,1.17,46.94,5.36,23.23,中钨高新,否,5.17,0,False,0.47,529.32亿
23,2979.08亿,-0.38,418.54,否,12.89亿,313.68万,SZ,002371,深交所主板,47.45,407.29,0.84,43.59,8.27,411.59,北方华创,否,0.43,0,False,-1.56,2981.47亿
24,1646.89亿,1.87,44.94,否,52.47亿,1.20亿,SZ,002050,深交所主板,46.57,43.00,1.07,43.52,5.95,44.70,三花智控,否,3.26,0,False,0.82,1881.39亿
25,686.78亿,1.83,38.42,否,8.03亿,2108.78万,SH,600584,上交所主板,46.19,37.61,1.04,54.01,2.44,38.38,长电科技,否,1.18,1,False,0.69,686.78亿
26,658.60亿,1.99,77.59,否,8.58亿,1117.31万,SZ,002049,深交所主板,45.99,75.60,1.10,39.12,5.02,77.53,紫光国微,否,1.32,0,False,1.51,658.71亿
27,733.34亿,1.23,72.97,否,12.00亿,1661.35万,SZ,000988,深交所主板,45.73,71.48,0.80,41.65,6.73,72.97,华工科技,否,1.65,0,False,0.89,733.72亿
28,486.71亿,0.09,22.82,否,8845.78万,388.43万,SH,600845,上交所主板,45.70,22.70,0.85,44.74,5.96,22.81,宝信软件,否,0.18,1,False,0.02,654.82亿
29,1094.00亿,-0.49,182.28,否,1.90亿,104.94万,SH,600436,上交所主板,45.21,180.87,0.78,38.53,7.56,181.33,片仔癀,否,0.17,1,False,-0.90,1094.00亿
30,1012.69亿,0.14,14.09,否,8.06亿,5793.28万,SZ,002600,深交所主板,45.00,13.79,0.79,39.71,4.36,14.07,领益智造,否,0.80,0,False,0.02,1027.96亿
31,1.35万亿,-0.76,68.19,否,51.91亿,7743.82万,SH,601138,上交所主板,44.24,66.19,0.94,45.09,8.37,68.08,工业富联,否,0.39,1,False,-0.52,1.35万亿
