SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,QJFE_DAY{2025-11-12},FUND_CHG_NEW,T0,NEW_SCALE
47,2.2934,0.73,2013-11-04,2.53亿,0.188,2013-12-05,513500,2.481,标普500ETF,1,False,0.018,98.11亿,0.00,0.22|2025-11-11,T+0,225.00亿|2025-11-11
48,0.8485,-0.35,2013-07-15,4.36亿,-0.002,2013-08-23,159928,0.846,消费ETF,0,False,-0.003,263.59亿,-3200.00万,0.07|2025-11-12,T+1,223.65亿|2025-11-12
49,1.4202,2.04,2019-04-22,9.05亿,0.031,2019-05-08,512480,1.451,半导体ETF,1,False,0.029,152.93亿,-400.00万,-0.54|2025-11-12,T+1,217.19亿|2025-11-12
50,0.6026,-0.17,2019-03-11,5.31亿,-0.001,2019-04-04,512690,0.602,酒ETF,1,False,-0.001,353.66亿,2.70亿,-0.07|2025-11-12,T+1,213.11亿|2025-11-12
51,0.8465,-1.06,2017-05-25,6.53亿,-0.008,2017-07-18,512800,0.839,银行ETF,1,False,-0.009,243.12亿,-1.56亿,0.47|2025-11-12,T+1,205.80亿|2025-11-12
52,0.7663,4.04,2021-02-18,6.17亿,0.032,2021-02-23,159870,0.798,化工ETF,0,False,0.031,241.66亿,5.80亿,-0.36|2025-11-12,T+1,185.18亿|2025-11-12
53,0.7837,-0.38,2021-05-11,9.86亿,-0.002,2021-05-18,159740,0.782,恒生科技ETF,0,False,-0.003,231.26亿,0.00,0.14|2025-11-12,T+0,181.24亿|2025-11-12
54,3.3564,-0.60,2006-10-30,2.00亿,-0.016,2006-11-17,510880,3.340,红利ETF,1,False,-0.020,53.34亿,-2300.00万,0.26|2025-11-12,T+1,179.04亿|2025-11-12
55,0.4043,1.23,2013-08-26,3.04亿,0.006,2013-09-23,512010,0.410,医药ETF,1,False,0.005,434.18亿,1.31亿,0.30|2025-11-12,T+1,175.54亿|2025-11-12
56,0.8904,0.22,2014-06-09,1.50亿,0.005,2014-06-26,512070,0.895,证券保险ETF,1,False,0.002,192.28亿,4.77亿,0.29|2025-11-12,T+1,171.21亿|2025-11-12
57,1.8080,-0.25,2013-04-15,3.39亿,0.161,2013-04-25,513100,1.969,纳指ETF,1,False,-0.005,94.66亿,0.00,-0.33|2025-11-11,T+0,171.15亿|2025-11-11
58,1.7230,4.93,2017-06-01,7.97亿,0.085,2017-08-03,512400,1.808,有色金属ETF,1,False,0.085,96.63亿,2600.00万,0.01|2025-11-12,T+1,166.49亿|2025-11-12
