SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-29},TOAL_MARKET_VALUE<140>
117,798.47亿,4.31,46.20,52.14亿,1.15亿,SZ,002074,43.82,1.61,24.70,2.93,46.00,国轩高科,否,否,6.60,0,False,1.90,25.07,834.32亿
118,525.78亿,4.68,15.68,24.21亿,1.57亿,SZ,002202,14.82,0.89,19.21,1.72,15.67,金风科技,否,否,4.68,0,False,0.70,24.96,662.07亿
119,517.44亿,0.15,53.08,1.78亿,338.50万,SH,601021,52.33,0.71,22.14,2.95,52.89,春秋航空,否,否,0.35,1,False,0.08,24.86,517.44亿
120,1056.03亿,8.91,21.11,91.47亿,4.46亿,SH,600089,19.11,2.59,16.58,1.59,20.90,特变电工,否,否,8.83,1,False,1.71,24.64,1056.03亿
121,1493.94亿,0.25,4.08,14.29亿,3.52亿,SZ,000725,4.04,1.11,23.45,1.14,4.07,京东方Ａ,否,否,0.96,0,False,0.01,24.22,1522.74亿
122,1141.06亿,2.60,39.04,14.52亿,3749.44万,SH,601995,38.00,1.45,21.52,1.96,39.03,中金公司,否,否,1.28,1,False,0.99,24.17,1884.08亿
123,496.13亿,4.13,21.95,20.71亿,9546.16万,SH,600875,21.08,1.65,19.85,1.79,21.92,东方电气,否,否,4.22,1,False,0.87,24.14,758.07亿
124,1007.75亿,0.66,18.44,7.49亿,4108.28万,SH,600415,18.06,0.87,21.86,4.54,18.38,小商品城,否,否,0.75,1,False,0.12,23.98,1007.88亿
125,1762.28亿,1.42,27.19,5.40亿,1995.76万,SH,601066,26.71,1.67,23.34,2.64,27.13,中信建投,否,否,0.31,1,False,0.38,23.71,2104.39亿
126,540.62亿,1.46,11.87,6.98亿,5929.16万,SH,601878,11.64,1.58,23.53,1.50,11.82,浙商证券,否,否,1.30,1,False,0.17,23.54,540.62亿
127,612.46亿,1.05,28.95,5.43亿,1889.20万,SH,600196,28.42,0.85,22.95,1.61,28.91,复星医药,否,否,0.89,1,False,0.30,23.52,772.02亿
128,600.20亿,2.66,6.98,16.51亿,2.40亿,SH,601377,6.67,2.16,22.56,1.09,6.95,兴业证券,否,否,2.78,1,False,0.18,23.51,600.20亿
129,886.96亿,2.64,78.07,11.53亿,1488.37万,SH,688036,75.71,1.40,30.97,4.41,77.78,传音控股,否,否,1.31,1,False,2.00,23.38,886.96亿
130,3016.99亿,1.12,33.44,16.81亿,5058.85万,SZ,002415,33.01,0.61,24.60,3.90,33.35,海康威视,否,否,0.56,0,False,0.37,23.18,3056.48亿
131,547.22亿,1.22,69.18,5.13亿,749.53万,SZ,002595,67.48,0.98,23.11,4.84,68.87,豪迈科技,否,否,0.94,0,False,0.83,23.12,550.96亿
132,1795.80亿,1.28,9.60,21.70亿,2.28亿,SH,601985,9.32,1.29,17.26,1.73,9.51,中国核电,否,否,1.21,1,False,0.12,22.85,1956.02亿
133,3644.87亿,0.77,105.18,41.29亿,3973.40万,SZ,002594,103.00,1.20,30.72,4.53,104.52,比亚迪,否,否,1.14,0,False,0.80,22.62,9529.29亿
134,733.02亿,4.50,81.16,16.63亿,2092.87万,SH,605117,76.91,1.40,24.08,7.66,80.75,德业股份,否,否,2.31,1,False,3.48,22.58,733.02亿
135,1183.20亿,3.80,62.86,47.08亿,7615.85万,SH,603799,60.20,0.97,21.22,2.50,62.80,华友钴业,否,否,4.04,1,False,2.30,22.29,1192.74亿
136,1608.80亿,0.49,4.12,5.61亿,1.38亿,SZ,003816,4.02,0.78,18.06,1.68,4.09,中国广核,否,否,0.35,0,False,0.02,21.97,2065.39亿
137,1323.41亿,5.53,25.10,32.25亿,1.31亿,SZ,000792,23.60,1.56,22.04,3.22,25.01,盐湖股份,否,否,2.47,0,False,1.31,21.97,1323.42亿
138,1816.20亿,-0.20,10.13,2.06亿,2044.75万,SH,600025,10.02,0.75,20.39,2.86,10.09,华能水电,否,否,0.11,1,False,-0.02,21.52,1879.88亿
139,62.39亿,7.79,12.71,9.44亿,7643.21万,SH,601061,11.59,1.40,19.67,2.58,12.45,中信金属,否,否,15.25,1,False,0.90,21.43,610.05亿
140,693.97亿,2.55,8.45,13.78亿,1.65亿,SH,601901,8.20,1.75,14.56,1.39,8.43,方正证券,否,否,2.00,1,False,0.21,21.42,693.97亿
141,561.85亿,4.12,22.24,9.61亿,4376.70万,SZ,000975,21.42,1.21,18.82,4.28,22.23,山金国际,否,否,1.73,0,False,0.88,21.25,617.27亿
142,1710.69亿,-0.33,27.34,9.86亿,3631.89万,SH,600887,27.11,1.15,11.94,3.23,27.18,伊利股份,否,否,0.58,1,False,-0.09,21.17,1719.23亿
143,2622.67亿,2.00,106.93,47.51亿,4532.34万,SH,603259,102.84,1.13,19.65,4.46,106.04,药明康德,否,否,1.83,1,False,2.08,21.10,3163.98亿
144,870.19亿,3.65,11.74,17.66亿,1.53亿,SH,600958,11.22,1.88,14.29,1.24,11.65,东方证券,否,否,2.05,1,False,0.41,21.05,989.86亿
145,797.63亿,0.32,9.47,2.76亿,2931.59万,SZ,001979,9.35,0.59,29.50,0.87,9.43,招商蛇口,否,否,0.35,0,False,0.03,21.00,854.44亿
146,1226.41亿,0.00,4.30,4.13亿,9628.87万,SH,600905,4.28,0.73,16.07,1.38,4.29,三峡能源,否,否,0.34,1,False,0.00,20.82,1226.41亿
147,432.26亿,2.56,12.48,4.75亿,3835.61万,SH,600026,12.20,0.81,18.18,1.56,12.44,中远海能,否,否,1.10,1,False,0.31,20.81,679.87亿
148,594.19亿,2.11,17.42,20.33亿,1.18亿,SH,600522,16.85,1.14,19.06,1.62,17.41,中天科技,否,否,3.47,1,False,0.36,20.74,594.19亿
149,492.68亿,3.97,29.69,12.65亿,4335.16万,SH,600988,28.74,0.81,20.51,4.49,29.61,赤峰黄金,否,否,2.61,1,False,1.13,20.71,562.71亿
150,1100.50亿,0.00,7.62,5.50亿,7254.39万,SZ,002027,7.52,0.88,20.65,6.73,7.62,分众传媒,否,否,0.50,0,False,0.00,20.66,1100.50亿
151,6791.65亿,-0.60,28.46,20.97亿,7405.43万,SH,600900,28.26,0.89,26.51,3.35,28.29,长江电力,否,否,0.31,1,False,-0.17,20.25,6922.06亿
152,2558.81亿,-0.57,5.27,4.43亿,8476.19万,SH,601816,5.21,0.66,20.26,1.28,5.23,京沪高铁,否,否,0.17,1,False,-0.03,20.10,2558.81亿
153,500.66亿,1.84,57.95,4.11亿,718.89万,SH,688187,56.32,1.05,23.41,1.92,57.62,时代电气,否,否,0.83,1,False,1.04,20.09,782.45亿
154,1542.17亿,-0.42,7.13,5.28亿,7476.48万,SH,600019,7.03,0.95,15.80,0.76,7.08,宝钢股份,否,否,0.34,1,False,-0.03,20.04,1542.17亿
155,1.79万亿,-0.91,1446.55,48.69亿,339.37万,SH,600519,1430.04,1.13,19.75,7.51,1431.90,贵州茅台,否,否,0.27,1,False,-13.10,19.94,1.79万亿
156,549.68亿,4.46,22.74,26.71亿,1.20亿,SH,600487,21.60,1.65,17.51,1.80,22.48,亨通光电,否,否,4.89,1,False,0.96,19.60,554.52亿
157,998.97亿,0.45,56.35,3.27亿,582.91万,SZ,000538,56.00,0.78,13.84,2.61,56.35,云南白药,否,否,0.33,0,False,0.25,19.36,1005.43亿
158,1349.21亿,-0.25,67.65,5.37亿,799.19万,SH,600660,66.87,0.55,18.66,4.96,67.36,福耀玻璃,否,否,0.40,1,False,-0.17,19.35,1757.92亿
159,714.86亿,2.69,40.86,4.50亿,1114.13万,SZ,000963,39.63,1.65,19.53,2.97,40.80,华东医药,否,否,0.64,0,False,1.07,19.35,715.64亿
160,464.97亿,0.44,65.57,2.32亿,355.25万,SH,600600,65.10,0.74,12.72,2.85,65.57,青岛啤酒,否,否,0.50,1,False,0.29,19.32,894.50亿
161,786.74亿,0.05,43.73,1.25亿,287.57万,SH,603195,43.26,0.97,19.18,5.37,43.69,公牛集团,否,否,0.16,1,False,0.02,19.30,790.17亿
162,3064.38亿,4.78,17.56,49.11亿,2.84亿,SH,603993,16.93,0.99,19.72,4.83,17.55,洛阳钼业,否,否,1.63,1,False,0.80,19.22,3754.70亿
163,662.92亿,2.99,16.58,9.41亿,5715.65万,SH,600176,16.20,1.33,19.36,2.10,16.56,中国巨石,否,否,1.43,1,False,0.48,19.05,662.92亿
164,413.87亿,0.14,13.99,1.30亿,936.34万,SH,601808,13.83,0.35,16.98,1.49,13.98,中海油服,否,否,0.32,1,False,0.02,19.01,667.07亿
165,953.95亿,1.22,58.10,4.90亿,852.49万,SZ,002311,57.02,1.11,17.28,3.78,57.38,海大集团,否,否,0.51,0,False,0.69,19.01,954.66亿
166,1250.72亿,1.65,5.55,6.65亿,1.21亿,SZ,000166,5.44,1.31,16.22,1.28,5.55,申万宏源,否,否,0.53,0,False,0.09,18.86,1389.72亿
167,590.98亿,3.12,24.90,13.38亿,5447.64万,SH,601168,24.21,0.97,15.05,3.34,24.80,西部矿业,否,否,2.29,1,False,0.75,18.79,590.98亿
168,891.11亿,9.57,43.11,42.74亿,1.03亿,SH,600362,39.65,1.49,18.51,1.82,42.94,江西铜业,否,否,4.96,1,False,3.75,18.58,1486.90亿
169,5235.27亿,-0.72,5.56,5.07亿,9168.21万,SH,600028,5.51,0.64,15.57,0.81,5.52,中国石化,否,否,0.10,1,False,-0.04,18.53,6689.00亿
