SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-17},TOAL_MARKET_VALUE<140>
137,6211.38亿,-0.98,31.30,92.93亿,3.04亿,SH,601899,30.03,0.73,15.88,5.71,30.17,紫金矿业,否,1.48,否,1,False,-0.30,19.92,8018.45亿
138,1035.74亿,-5.11,11.73,12.38亿,1.10亿,SZ,000425,11.03,0.95,15.03,2.17,11.15,徐工机械,否,1.18,否,0,False,-0.60,19.86,1310.46亿
139,2524.56亿,-0.39,5.22,10.30亿,1.99亿,SH,601816,5.14,1.04,19.99,1.26,5.16,京沪高铁,否,0.41,否,1,False,-0.02,19.84,2524.56亿
140,1011.56亿,-1.13,57.95,5.15亿,895.58万,SZ,000538,57.00,0.89,14.01,2.64,57.06,云南白药,否,0.51,否,0,False,-0.65,19.60,1018.10亿
141,576.79亿,-5.16,18.15,22.98亿,1.33亿,SH,600522,16.84,0.97,18.40,1.62,16.90,中天科技,否,3.90,否,1,False,-0.92,19.58,576.79亿
142,796.10亿,-1.25,44.76,1.26亿,285.00万,SH,603195,44.20,0.85,19.41,5.44,44.21,公牛集团,否,0.16,否,1,False,-0.56,19.53,799.58亿
143,51.52亿,-3.11,10.82,3.08亿,2944.13万,SH,601061,10.25,0.73,17.39,2.24,10.28,中信金属,否,5.87,否,1,False,-0.33,19.52,503.72亿
144,704.28亿,-1.74,41.62,3.11亿,763.97万,SZ,000963,40.07,0.63,19.43,2.97,40.20,华东医药,否,0.44,否,0,False,-0.71,19.42,705.12亿
145,2389.91亿,-1.46,199.98,9.19亿,465.59万,SH,600809,195.52,0.85,14.05,6.66,195.90,山西汾酒,否,0.38,否,1,False,-2.90,19.37,2389.91亿
146,611.28亿,-3.54,15.86,8.02亿,5186.28万,SH,600176,15.20,0.93,18.12,1.99,15.27,中国巨石,否,1.30,否,1,False,-0.56,19.28,611.28亿
147,2626.11亿,-4.20,15.85,44.89亿,2.94亿,SH,603993,15.00,0.79,18.55,4.42,15.04,洛阳钼业,否,1.68,否,1,False,-0.66,19.17,3217.70亿
148,475.90亿,-5.54,58.28,5.82亿,1041.50万,SH,688187,54.77,0.89,22.25,1.83,54.77,时代电气,否,1.20,否,1,False,-3.21,19.10,743.75亿
149,1155.12亿,-1.85,16.85,2.17亿,1310.11万,SH,600346,16.38,0.61,18.94,1.84,16.41,恒力石化,否,0.19,否,1,False,-0.31,19.01,1155.12亿
150,403.51亿,-1.45,13.84,1.10亿,801.02万,SH,601808,13.62,0.75,16.56,1.45,13.63,中海油服,否,0.27,否,1,False,-0.20,18.54,650.37亿
151,5364.21亿,1.17,6.95,13.20亿,1.91亿,SH,601728,6.82,1.50,13.74,1.35,6.91,中国电信,否,0.25,否,1,False,0.08,18.48,6323.14亿
152,345.03亿,-6.68,53.29,6.91亿,1367.84万,SZ,002353,49.50,1.76,20.53,2.33,49.77,杰瑞股份,否,1.97,否,0,False,-3.56,18.33,509.57亿
153,1030.86亿,-6.38,13.12,47.11亿,3.70亿,SZ,000625,12.43,1.48,27.00,1.63,12.48,长安汽车,否,4.48,否,0,False,-0.85,18.25,1237.28亿
154,1271.50亿,-5.08,65.06,18.20亿,2833.07万,SH,600660,63.30,1.70,17.59,4.67,63.48,福耀玻璃,否,1.41,否,1,False,-3.40,18.24,1656.67亿
155,1673.72亿,-1.09,5.54,16.31亿,2.97亿,SH,600050,5.43,0.93,13.39,1.02,5.44,中国联通,否,0.97,否,1,False,-0.06,18.21,1700.78亿
156,1913.10亿,-1.86,40.91,12.35亿,3056.44万,SZ,002352,40.06,0.84,17.61,2.12,40.09,顺丰控股,否,0.64,否,0,False,-0.76,18.20,2020.31亿
157,5130.94亿,-0.73,5.49,8.24亿,1.51亿,SH,600028,5.41,0.96,15.26,0.79,5.41,中国石化,否,0.16,否,1,False,-0.04,18.16,6555.71亿
