SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-10-27},PCHG,PETTM{2025-10-27},TOAL_MARKET_VALUE<140>
132,485.94亿,6.29,21.98,24.50亿,1.16亿,SH,600875,20.35,2.83,19.44,1.75,21.47,东方电气,否,5.13,1,False,否,1.27,22.24,742.51亿
133,582.07亿,3.06,6.83,15.04亿,2.24亿,SH,601377,6.55,3.51,21.88,1.05,6.74,兴业证券,否,2.60,1,False,否,0.20,22.13,582.07亿
134,58.94亿,1.55,11.78,5.84亿,5010.72万,SH,601061,11.41,1.08,19.89,2.56,11.76,中信金属,否,10.00,1,False,否,0.18,21.99,576.24亿
135,706.06亿,-1.04,80.10,12.04亿,1541.42万,SH,605117,77.17,1.00,23.19,7.38,77.78,德业股份,否,1.70,1,False,否,-0.82,21.98,706.06亿
136,1788.25亿,4.18,9.60,40.00亿,4.25亿,SH,601985,9.09,4.10,17.19,1.72,9.47,中国核电,否,2.25,1,False,否,0.38,21.84,1947.79亿
137,1821.60亿,0.90,10.18,2.73亿,2702.92万,SH,600025,9.97,0.94,20.45,2.86,10.12,华能水电,否,0.15,1,False,否,0.09,21.39,1885.47亿
138,3018.98亿,3.04,17.82,69.24亿,3.99亿,SH,603993,17.00,1.69,19.43,4.76,17.29,洛阳钼业,否,2.28,1,False,否,0.51,21.39,3699.08亿
139,1725.17亿,0.48,27.50,10.38亿,3784.77万,SH,600887,27.28,1.22,12.04,3.25,27.41,伊利股份,否,0.60,1,False,否,0.13,21.24,1733.78亿
140,801.86亿,-0.21,9.57,4.06亿,4283.07万,SZ,001979,9.44,0.91,29.66,0.87,9.48,招商蛇口,否,0.51,0,False,否,-0.02,21.15,858.97亿
141,1624.53亿,3.51,4.20,11.59亿,2.81亿,SZ,003816,4.00,1.66,17.52,1.73,4.13,中国广核,否,0.71,0,False,否,0.14,20.87,2085.59亿
142,1237.85亿,0.70,4.33,6.44亿,1.49亿,SH,600905,4.29,1.17,16.22,1.40,4.33,三峡能源,否,0.52,1,False,否,0.03,20.87,1237.85亿
